Reference,Value,Description,Package,Quantity,Manufacturer,MPN,Mouser PN,Note
"C14","100n","Bypass ESP32 3.3V","0402",1,"","","",""
"F1","500mA 250V","Fusibile ingresso 230V HLK","5x20mm",1,"Littelfuse","0215.500MXP","576-0215.500MXP","Protezione alimentatore"
"F2","10A T 250V","Fusibile ritardato uscite rele 230V","5x20mm",1,"Littelfuse","0215010.MXP","576-0215010.MXP","Ritardato - regge spunto compressore"
"J1","Phoenix 5.08 2p","Ingresso 230V F+N","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242","Ingresso rete"
"J2","Phoenix 5.08 2p","PE terra","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242","Messa a terra"
"J3","Phoenix 5.08 3p","OUT1 Compressore F+N","MSTBA 3/1-G-5.08",1,"Phoenix Contact","1757255","651-1757255",""
"J4","Phoenix 5.08 3p","OUT2 Valvola acqua F+N","MSTBA 3/1-G-5.08",1,"Phoenix Contact","1757255","651-1757255",""
"J5","Phoenix 5.08 3p","OUT3 Ventilatore vel.1","MSTBA 3/1-G-5.08",1,"Phoenix Contact","1757255","651-1757255",""
"J6","Phoenix 5.08 3p","OUT4 Ventilatore vel.2","MSTBA 3/1-G-5.08",1,"Phoenix Contact","1757255","651-1757255",""
"J7","Phoenix 5.08 3p","OUT5 Ventilatore vel.3","MSTBA 3/1-G-5.08",1,"Phoenix Contact","1757255","651-1757255",""
"J8","Phoenix 5.08 2p","Sonda NTC S1 evaporatore","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"J9","Phoenix 5.08 2p","Sonda NTC S2 acqua","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"J10","Phoenix 5.08 2p","ID1 Pressostato HP","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"J11","Phoenix 5.08 2p","ID2 Consenso integrazione","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"J12","Phoenix 5.08 2p","ID3 Consenso deumidificazione","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"J13","Phoenix 5.08 2p","ID4 Consenso ventilazione","MSTBA 2/1-G-5.08",1,"Phoenix Contact","1757242","651-1757242",""
"LED1","LED rosso 3mm","L.R. - Rete","3mm",1,"","","","Power on"
"LED2","LED verde 3mm","L.O. - Operativo","3mm",1,"","","","Sistema OK"
"LED3","LED giallo 3mm","L.G. - Guasto","3mm",1,"","","","Allarme attivo"
"R17","1k","Current limit LED1","0402",1,"","","",""
"R18","1k","Current limit LED2","0402",1,"","","",""
"R19","1k","Current limit LED3","0402",1,"","","",""
"SW1","Tactile switch","Reset allarmi / BOOT ESP32","3x6mm",1,"","","","Doppia funzione: BOOT + reset fault"
